,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
4,841645,House,7000000,Islamabad,Islamabad Capital,33.492591,73.301339,3,3,2019-07-10,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2178.008,2019,7,2019-07-01
7,1258636,Flat,7800000,Islamabad,Islamabad Capital,33.698244,72.984238,2,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,16879.561999999998,2019,5,2019-05-01
8,1402466,House,50000000,Islamabad,Islamabad Capital,33.540894,73.095732,7,7,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
9,1418706,Penthouse,40000000,Islamabad,Islamabad Capital,33.679211,72.988787,5,5,2019-06-27,Crown Associate,Abrar Ahmed,5445.0,2019,6,2019-06-01
10,1425602,Flat,35000000,Islamabad,Islamabad Capital,33.728873,73.119628,3,3,2019-06-03,Al Sahar Estate,Zahid H. Usmani,19329.821,2019,6,2019-06-01
11,1586658,Flat,48000000,Islamabad,Islamabad Capital,33.728873,73.119628,2,2,2019-02-04,Al Sahar Estate,Zahid H. Usmani,21235.578,2019,2,2019-02-01
14,1879795,Flat,3600000,Islamabad,Islamabad Capital,33.698137,72.978215,1,1,2019-07-03,Ettemad Enterprises,Ettemad,8439.780999999999,2019,7,2019-07-01
15,1879796,Flat,5000000,Islamabad,Islamabad Capital,33.698137,72.978215,2,2,2019-05-05,Ettemad Enterprises,Ettemad,1089.004,2019,5,2019-05-01
16,1947817,House,19000000,Islamabad,Islamabad Capital,33.508481,73.091826,3,3,2019-06-20,Infinity Properties,Ali,2722.51,2019,6,2019-06-01
17,2230469,House,80000000,Islamabad,Islamabad Capital,33.541728,73.094103,7,7,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,10890.0,2019,7,2019-07-01
19,2384979,Flat,1750000,Islamabad,Islamabad Capital,33.570792,73.145256,0,0,2019-06-13,Paris Real Estate & Builders,Chaudhary Naveed,4083.765,2019,6,2019-06-01
23,2682075,Flat,47000000,Islamabad,Islamabad Capital,33.728873,73.119628,2,3,2019-05-05,Al Sahar Estate,Zahid H. Usmani,22869.084,2019,5,2019-05-01
27,2883507,Flat,19400000,Islamabad,Islamabad Capital,33.713845,73.06097,1,1,2019-06-27,Crown Associate,Abrar Ahmed,11706.793,2019,6,2019-06-01
28,3098002,House,100000000,Islamabad,Islamabad Capital,33.72402,73.074524,5,5,2019-01-05,Property Syendicate,Rizwan Shafqat,48460.67799999999,2019,1,2019-01-01
29,3101600,Flat,8000000,Islamabad,Islamabad Capital,33.675604,73.000367,2,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,18240.817,2019,5,2019-05-01
30,3166573,Flat,6300000,Islamabad,Islamabad Capital,33.698137,72.978215,3,3,2019-05-05,Ettemad Enterprises,Ettemad,14429.302999999998,2019,5,2019-05-01
31,3285142,House,220000000,Islamabad,Islamabad Capital,33.716274,73.05624,10,10,2019-01-05,Property Syendicate,Rizwan Shafqat,114345.0,2019,1,2019-01-01
34,3626467,House,230000000,Islamabad,Islamabad Capital,33.727409,73.047581,4,4,2019-06-12,Zorje Pvt Ltd,Obaid Abbasi,136125.0,2019,6,2019-06-01
35,858689,House,110000,Islamabad,Islamabad Capital,33.542039,73.093414,5,5,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
36,877435,House,600000,Islamabad,Islamabad Capital,33.720413,73.056493,6,6,2018-10-20,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,10890.0,2018,10,2018-10-01
43,3191268,House,900000,Islamabad,Islamabad Capital,33.730907,73.074431,8,7,2019-06-20,Zorje Pvt Ltd,Obaid Abbasi,130680.0,2019,6,2019-06-01
44,3347676,Lower Portion,200000,Islamabad,Islamabad Capital,33.724018,73.074524,3,3,2019-04-05,Property Syendicate,Rizwan Shafqat,4356.016,2019,4,2019-04-01
47,347795,House,220000000,Lahore,Punjab,31.48386866,74.3256855,0,0,2019-07-17,Real Biz International,Usama Khan,32670.0,2019,7,2019-07-01
48,482892,House,40000000,Lahore,Punjab,31.431593,74.17998,5,5,2018-10-06,Khan Estate,mohsinkhan and B,5445.0,2018,10,2018-10-01
49,555962,House,9500000,Lahore,Punjab,31.499348,74.416959,0,3,2019-07-03,Shahum Estate 2,"Babar Hameed, Raja Omar",2450.259,2019,7,2019-07-01
52,785289,House,52000000,Lahore,Punjab,31.495909,74.350569,6,5,2019-06-02,MATZ Services,Group Captain (R) Tajammul Baig,5445.0,2019,6,2019-06-01
54,983065,House,32500000,Lahore,Punjab,31.439978,74.209685,0,5,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,5445.0,2019,7,2019-07-01
55,983066,House,31500000,Lahore,Punjab,31.437744,74.21349,0,6,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,5445.0,2019,7,2019-07-01
56,983075,House,40000000,Lahore,Punjab,31.409106,74.181662,0,6,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,87120.0,2019,7,2019-07-01
58,1402784,House,87500000,Lahore,Punjab,31.542114,74.355898,5,4,2019-06-30,Hamza Real Estate,Imran Shahad,65340.0,2019,6,2019-06-01
